season,week,def_team,epa_per_play_allowed,plays_allowed_per_game,rz_td_rate_allowed,home_def_adj,away_def_adj
2024,5,IND,0.23499715,76.0,0.6666666865348816,-0.0047115384615384615,0.0047115384615384615
2024,6,IND,-0.029564157,76.0,1.0,-0.0047115384615384615,0.0047115384615384615
2024,7,IND,-0.2259534,85.0,0.3333333432674408,-0.0047115384615384615,0.0047115384615384615
2024,8,IND,-0.018053226,91.0,0.3333333432674408,-0.0047115384615384615,0.0047115384615384615
2024,9,IND,-0.13358483,85.0,0.6000000238418579,-0.0047115384615384615,0.0047115384615384615
2024,10,IND,0.015563327,91.0,0.5,-0.0047115384615384615,0.0047115384615384615
2024,11,IND,-0.007613642,71.0,0.75,-0.0047115384615384615,0.0047115384615384615
2024,12,IND,0.113464706,88.0,0.75,-0.0047115384615384615,0.0047115384615384615
2024,13,IND,0.088648096,85.0,0.3333333432674408,-0.0047115384615384615,0.0047115384615384615
2024,14,IND,0.0,60.0,0.55,-0.0047115384615384615,0.0047115384615384615
2024,15,IND,-0.19270359,81.0,1.0,-0.0047115384615384615,0.0047115384615384615
2024,16,IND,0.04783064,77.0,1.0,-0.0047115384615384615,0.0047115384615384615
2024,17,IND,0.25877276,76.0,0.8571428656578064,-0.0047115384615384615,0.0047115384615384615
2024,1,JAX,-0.0062852157,85.0,0.6666666865348816,-0.013846153846153845,0.013846153846153845
2024,2,JAX,0.04787104,88.0,0.3333333432674408,-0.013846153846153845,0.013846153846153845
2024,3,JAX,0.3459446,77.0,0.8571428656578064,-0.013846153846153845,0.013846153846153845
2024,4,JAX,0.09837617,91.0,0.75,-0.013846153846153845,0.013846153846153845
2024,5,JAX,0.17341666,92.0,0.6666666865348816,-0.013846153846153845,0.013846153846153845
2024,6,JAX,0.27041534,79.0,1.0,-0.013846153846153845,0.013846153846153845
2024,7,JAX,-0.019611299,77.0,1.0,-0.013846153846153845,0.013846153846153845
2024,8,JAX,0.1314518,90.0,0.4285714328289032,-0.013846153846153845,0.013846153846153845
2024,9,JAX,0.01129696,95.0,0.800000011920929,-0.013846153846153845,0.013846153846153845
2024,10,JAX,-0.009290921,97.0,0.0,-0.013846153846153845,0.013846153846153845
2024,11,JAX,0.44414002,91.0,0.875,-0.013846153846153845,0.013846153846153845
2024,12,JAX,0.0,60.0,0.55,-0.013846153846153845,0.013846153846153845
2024,13,JAX,0.0873911,79.0,0.5,-0.013846153846153845,0.013846153846153845
2024,14,JAX,-0.09604256,74.0,0.0,-0.013846153846153845,0.013846153846153845
2024,15,JAX,0.29529136,76.0,0.800000011920929,-0.013846153846153845,0.013846153846153845
2024,16,JAX,-0.13345468,91.0,0.6666666865348816,-0.013846153846153845,0.013846153846153845
2024,17,JAX,0.015931804,83.0,0.5,-0.013846153846153845,0.013846153846153845
2024,1,KC,0.020795846,95.0,0.4000000059604645,0.01966346153846154,-0.01966346153846154
2024,2,KC,0.0549321,81.0,0.5,0.01966346153846154,-0.01966346153846154
2024,3,KC,-0.0063160155,76.0,0.5,0.01966346153846154,-0.01966346153846154
2024,4,KC,-0.22025993,75.0,0.3333333432674408,0.01966346153846154,-0.01966346153846154
2024,5,KC,-0.08638829,69.0,1.0,0.01966346153846154,-0.01966346153846154
2024,6,KC,0.0,60.0,0.55,0.01966346153846154,-0.01966346153846154
2024,7,KC,-0.112362,75.0,0.5,0.01966346153846154,-0.01966346153846154
2024,8,KC,-0.041957762,74.0,0.5,0.01966346153846154,-0.01966346153846154
2024,9,KC,0.13339192,72.0,1.0,0.01966346153846154,-0.01966346153846154
2024,10,KC,-0.013146208,75.0,0.6666666865348816,0.01966346153846154,-0.01966346153846154
2024,11,KC,0.13917536,87.0,0.800000011920929,0.01966346153846154,-0.01966346153846154
2024,12,KC,0.13688739,82.0,0.3333333432674408,0.01966346153846154,-0.01966346153846154
2024,13,KC,-0.05614682,87.0,0.6666666865348816,0.01966346153846154,-0.01966346153846154
2024,14,KC,0.08134712,74.0,0.6666666865348816,0.01966346153846154,-0.01966346153846154
2024,15,KC,-0.33728606,75.0,1.0,0.01966346153846154,-0.01966346153846154
2024,16,KC,0.05715686,75.0,0.5,0.01966346153846154,-0.01966346153846154
2024,17,KC,-0.13001166,92.0,0.25,0.01966346153846154,-0.01966346153846154
2024,1,LAC,-0.31249446,74.0,0.5,-0.006538461538461539,0.006538461538461539
2024,2,LAC,-0.38327795,65.0,0.0,-0.006538461538461539,0.006538461538461539
2024,3,LAC,0.048708316,81.0,0.4000000059604645,-0.006538461538461539,0.006538461538461539
2024,4,LAC,-0.10412876,75.0,0.6666666865348816,-0.006538461538461539,0.006538461538461539
2024,5,LAC,0.0,60.0,0.55,-0.006538461538461539,0.006538461538461539
2024,6,LAC,-0.048362732,71.0,1.0,-0.006538461538461539,0.006538461538461539
2024,7,LAC,0.08256832,73.0,0.6666666865348816,-0.006538461538461539,0.006538461538461539
2024,8,LAC,-0.20546658,93.0,0.0,-0.006538461538461539,0.006538461538461539
2024,9,LAC,-0.2663572,96.0,0.3333333432674408,-0.006538461538461539,0.006538461538461539
2024,10,LAC,0.04066602,74.0,0.5,-0.006538461538461539,0.006538461538461539
2024,11,LAC,0.008935264,102.0,0.6000000238418579,-0.006538461538461539,0.006538461538461539
2024,12,LAC,0.23185913,78.0,1.0,-0.006538461538461539,0.006538461538461539
2024,13,LAC,-0.16781566,93.0,0.25,-0.006538461538461539,0.006538461538461539
2024,14,LAC,0.09052637,86.0,0.25,-0.006538461538461539,0.006538461538461539
2024,15,LAC,0.19585109,85.0,0.5714285969734192,-0.006538461538461539,0.006538461538461539
2024,16,LAC,0.14444654,83.0,1.0,-0.006538461538461539,0.006538461538461539
2024,17,LAC,-0.2820613,67.0,1.0,-0.006538461538461539,0.006538461538461539
2024,1,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,2,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,3,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,4,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,5,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,6,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,7,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,8,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,9,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,10,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,11,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,12,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,13,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,14,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,15,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,16,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,17,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,1,LV,-0.12475146,77.0,0.5,-0.011442307692307693,0.011442307692307693
2024,2,LV,-0.03451303,88.0,0.6666666865348816,-0.011442307692307693,0.011442307692307693
2024,3,LV,0.16319771,92.0,0.6666666865348816,-0.011442307692307693,0.011442307692307693
2024,4,LV,-0.11369533,73.0,0.5,-0.011442307692307693,0.011442307692307693
2024,5,LV,0.031868465,85.0,0.75,-0.011442307692307693,0.011442307692307693
2024,6,LV,0.08391828,83.0,0.6000000238418579,-0.011442307692307693,0.011442307692307693
